time (ms), statusbyte, databyte1, datbaty2
 280675, 144, 55, 34
 280675, 144, 57, 34
 281050, 144, 55, 0
 281050, 144, 53, 0
 281050, 144, 60, 0
 281050, 144, 57, 0
 282000, 144, 52, 100
 282000, 144, 44, 100
 282000, 144, 47, 100
 282375, 144, 62, 49
 282750, 144, 63, 29
 282750, 144, 62, 0
 282750, 144, 53, 34
 283125, 144, 59, 34
 283125, 144, 63, 0
 283125, 144, 53, 0
 283500, 144, 44, 0
 283500, 144, 52, 0
 283500, 144, 59, 0
 283500, 144, 47, 0
 283875, 144, 62, 29
 283875, 144, 52, 34
 283875, 144, 58, 34
 284250, 144, 52, 0
 284250, 144, 62, 0
 284250, 144, 58, 0
 285525, 144, 64, 29
 285900, 144, 64, 0
 286375, 144, 60, 49
 286375, 144, 62, 49
 287375, 144, 62, 0
 287375, 144, 60, 0
 287625, 144, 48, 100
 288000, 144, 58, 100
 288000, 144, 67, 29
 288000, 144, 55, 34
 288000, 144, 59, 34
 288375, 144, 59, 0
 288375, 144, 67, 0
 288375, 144, 58, 0
 288375, 144, 48, 0
 288375, 144, 55, 0
 289875, 144, 64, 49
 289875, 144, 60, 49
 290250, 144, 60, 0
 290250, 144, 64, 0
 291000, 144, 51, 100
 291375, 144, 61, 49
 291750, 144, 61, 0
 292375, 144, 60, 49
 292750, 144, 51, 0
 293375, 144, 60, 0
 293550, 144, 61, 49
 293550, 144, 68, 49
 293925, 144, 68, 0
 293925, 144, 61, 0
 294000, 144, 70, 49
 294000, 144, 64, 49
 294375, 144, 69, 49
 294375, 144, 65, 100
 294375, 144, 70, 0
 294375, 144, 64, 0
 294375, 144, 63, 49
 294475, 144, 61, 0
 294750, 144, 65, 100
 294750, 144, 63, 0
 294750, 144, 69, 0
 294825, 144, 65, 49
 294825, 144, 66, 49
 295000, 144, 54, 34
 295000, 144, 56, 34
 295200, 144, 66, 0
 295200, 144, 65, 0
 296000, 144, 54, 0
 296000, 144, 56, 0
 297000, 144, 52, 34
 297000, 144, 59, 34
 297000, 144, 65, 0
 297000, 144, 65, 0
 297375, 144, 59, 0
 297375, 144, 52, 0
 297800, 144, 63, 49
 298175, 144, 63, 0
 298500, 144, 67, 29
 298500, 144, 58, 34
 298500, 144, 57, 34
 298875, 144, 58, 0
 298875, 144, 67, 0
 299000, 144, 62, 100
 299000, 144, 57, 0
 299500, 144, 60, 29
 299500, 144, 64, 49
 299875, 144, 64, 0
 299875, 144, 60, 0
 300000, 144, 52, 34
 300375, 144, 52, 0
 301000, 144, 63, 29
 301000, 144, 59, 34
 301375, 144, 59, 0
 301375, 144, 63, 0
 301625, 144, 46, 34
 302000, 144, 46, 0
 302175, 144, 69, 29
 302175, 144, 59, 34
 302550, 144, 59, 0
 302550, 144, 69, 0
 302625, 144, 58, 34
 302650, 144, 64, 49
 302750, 144, 62, 0
 303000, 144, 62, 100
 303000, 144, 58, 0
 303000, 144, 67, 29
 303025, 144, 64, 0
 303375, 144, 63, 49
 303375, 144, 67, 0
 303400, 144, 67, 49
 303450, 144, 63, 29
 303750, 144, 43, 100
 303750, 144, 41, 100
 303750, 144, 63, 0
 303750, 144, 54, 100
 303750, 144, 50, 100
 303775, 144, 67, 0
 303825, 144, 63, 0
 304500, 144, 41, 0
 304500, 144, 54, 0
 304500, 144, 43, 0
 304500, 144, 50, 0
 304750, 144, 62, 0
 306425, 144, 60, 100
 306425, 144, 62, 29
 306425, 144, 54, 34
 306425, 144, 55, 34
 306675, 144, 62, 49
 306750, 144, 73, 49
 306750, 144, 64, 49
 306775, 144, 63, 49
 306800, 144, 55, 0
 306800, 144, 62, 0
 306800, 144, 54, 0
 307050, 144, 62, 0
 307125, 144, 73, 0
 307125, 144, 64, 0
